['1552697729537', '192.168.50.145', 'NA', 'NA', '1.120', '7.601', '-4.284', '-7.744', '10.719', '0.805', '-0.114', '0.298', '-0.264', '1028.89', 'NA']
['1552697729558', '192.168.50.145', 'NA', 'NA', '1.463', '8.562', '-3.634', '-2.118', '23.616', '11.944', '-0.119', '0.304', '-0.289', '1028.77', 'NA']
['1552697729590', '192.168.50.145', 'NA', 'NA', '1.463', '8.562', '-3.634', '-2.118', '23.616', '11.944', '-0.119', '0.304', '-0.289', '1028.77', 'NA']
['1552697729608', '192.168.50.145', '38.19', '10205FE010002A7B', '2.160', '8.536', '-3.671', '-21.648', '7.411', '-12.801', '-0.108', '0.308', '-0.263', '1028.88', '-83']
['1552697729630', '192.168.50.145', '20.98', '10205FE010002C95', '2.160', '8.536', '-3.671', '-21.648', '7.411', '-12.801', '-0.108', '0.308', '-0.263', '1028.88', '-90']
['1552697729654', '192.168.50.145', '10.22', '10205FE010002BEB', '2.160', '8.536', '-3.671', '-21.648', '7.411', '-12.801', '-0.108', '0.308', '-0.263', '1028.88', '-84']
['1552697729669', '192.168.50.145', '2.77', '10205FE010002C92', '2.067', '9.483', '-3.016', '-13.125', '14.158', '-4.060', '-0.108', '0.304', '-0.267', '1028.82', '-83']
['1552697729702', '192.168.50.145', 'NA', 'NA', '2.067', '9.483', '-3.016', '-13.125', '14.158', '-4.060', '-0.108', '0.304', '-0.267', '1028.82', 'NA']
['1552697729723', '192.168.50.145', 'NA', 'NA', '2.500', '9.054', '-3.628', '-25.550', '-5.679', '0.096', '-0.098', '0.315', '-0.254', '1028.81', 'NA']
['1552697729754', '192.168.50.145', '38.21', '10205FE010002A7B', '2.500', '9.054', '-3.628', '-25.550', '-5.679', '0.096', '-0.098', '0.315', '-0.254', '1028.81', '-83']
['1552697729776', '192.168.50.145', 'NA', 'NA', '2.500', '9.054', '-3.628', '-25.550', '-5.679', '0.096', '-0.098', '0.315', '-0.254', '1028.81', 'NA']
['1552697729809', '192.168.50.145', 'NA', 'NA', '2.023', '9.351', '-2.885', '-9.257', '-5.827', '-5.784', '-0.099', '0.320', '-0.247', '1028.83', 'NA']
['1552697729831', '192.168.50.145', 'NA', 'NA', '2.023', '9.351', '-2.885', '-9.257', '-5.827', '-5.784', '-0.099', '0.320', '-0.247', '1028.83', 'NA']
['1552697729859', '192.168.50.145', '18.26', '10205FE0100031F3', '2.156', '9.150', '-3.471', '-15.881', '-0.210', '-35.079', '-0.106', '0.319', '-0.244', '1028.86', '-94']
['1552697729881', '192.168.50.145', 'NA', 'NA', '2.156', '9.150', '-3.471', '-15.881', '-0.210', '-35.079', '-0.106', '0.319', '-0.244', '1028.86', 'NA']
['1552697729922', '192.168.50.145', '38.22', '10205FE010002A7B', '1.318', '8.894', '-3.634', '-2.161', '6.799', '-6.151', '-0.120', '0.310', '-0.252', '1028.84', '-83']
['1552697729944', '192.168.50.145', 'NA', 'NA', '1.318', '8.894', '-3.634', '-2.161', '6.799', '-6.151', '-0.120', '0.310', '-0.252', '1028.84', 'NA']
['1552697729990', '192.168.50.145', 'NA', 'NA', '2.603', '8.435', '-3.549', '-18.821', '-11.734', '-2.975', '-0.125', '0.311', '-0.247', '1028.84', 'NA']
['1552697730012', '192.168.50.145', 'NA', 'NA', '2.603', '8.435', '-3.549', '-18.821', '-11.734', '-2.975', '-0.125', '0.311', '-0.247', '1028.84', 'NA']
['1552697730046', '192.168.50.145', 'NA', 'NA', '1.960', '8.807', '-2.557', '-3.246', '-1.697', '-9.170', '-0.121', '0.317', '-0.237', '1028.86', 'NA']
['1552697730068', '192.168.50.145', 'NA', 'NA', '1.960', '8.807', '-2.557', '-3.246', '-1.697', '-9.170', '-0.121', '0.317', '-0.237', '1028.86', 'NA']
['1552697730102', '192.168.50.145', '38.18', '10205FE010002A7B', '1.960', '8.807', '-2.557', '-3.246', '-1.697', '-9.170', '-0.121', '0.317', '-0.237', '1028.86', '-83']
['1552697730118', '192.168.50.145', '21.09', '10205FE010002C95', '2.851', '8.285', '-3.363', '-18.559', '-4.480', '-6.003', '-0.119', '0.314', '-0.231', '1028.87', '-83']
['1552697730161', '192.168.50.145', 'NA', 'NA', '2.851', '8.285', '-3.363', '-18.559', '-4.480', '-6.003', '-0.119', '0.314', '-0.231', '1028.87', 'NA']
['1552697730176', '192.168.50.145', '2.75', '10205FE010002C92', '2.693', '8.966', '-3.093', '-18.673', '0.551', '-0.683', '-0.128', '0.318', '-0.237', '1028.88', '-83']
['1552697730204', '192.168.50.145', 'NA', 'NA', '2.693', '8.966', '-3.093', '-18.673', '0.551', '-0.683', '-0.128', '0.318', '-0.237', '1028.88', 'NA']
['1552697730225', '192.168.50.145', 'NA', 'NA', '2.693', '8.966', '-3.093', '-18.673', '0.551', '-0.683', '-0.128', '0.318', '-0.237', '1028.88', 'NA']
['1552697730240', '192.168.50.145', '38.06', '10205FE010002A7B', '3.170', '9.040', '-3.744', '-16.669', '-11.725', '11.454', '-0.132', '0.323', '-0.246', '1028.86', '-83']
['1552697730274', '192.168.50.145', 'NA', 'NA', '3.170', '9.040', '-3.744', '-16.669', '-11.725', '11.454', '-0.132', '0.323', '-0.246', '1028.86', 'NA']
['1552697730296', '192.168.50.145', 'NA', 'NA', '2.069', '9.120', '-3.577', '-6.895', '7.770', '0.472', '-0.111', '0.327', '-0.217', '1028.87', 'NA']
['1552697730334', '192.168.50.145', 'NA', 'NA', '2.069', '9.120', '-3.577', '-6.895', '7.770', '0.472', '-0.111', '0.327', '-0.217', '1028.87', 'NA']
