[1546720834.985078, '192.168.50.145', '0.98', '10205FE010002C92', '-0.703', '-1.978', '-8.486', '-2.791', '-1.461', '-8.453', '0.031', '-0.487', '-0.360', '-86']
[1546720835.124956, '192.168.50.145', '0.56', '10205FE010002C92', '0.282', '-2.650', '-10.158', '10.386', '-8.890', '-10.544', '0.036', '-0.489', '-0.357', '-82']
[1546720835.474718, '192.168.50.145', '0.43', '10205FE010002C92', '-1.108', '-1.133', '-8.898', '-5.399', '5.390', '-44.678', '0.110', '-0.489', '-0.347', '-81']
[1546720835.7311893, '192.168.50.145', '0.57', '10205FE010002C92', '-0.711', '-0.988', '-10.006', '-6.974', '-10.474', '-60.620', '0.156', '-0.451', '-0.373', '-81']
[1546720836.035059, '192.168.50.145', '26.17', '10205FE010002A7B', '0.237', '-1.168', '-10.187', '-1.908', '-28.595', '-103.679', '0.240', '-0.342', '-0.387', '-82']
[1546720836.1821582, '192.168.50.145', '23.89', '10205FE010002A85', '0.197', '-0.368', '-9.918', '7.560', '-19.049', '-93.371', '0.246', '-0.291', '-0.401', '-88']
[1546720836.524198, '192.168.50.145', '67.75', '10205FE010002A7B', '-0.318', '-1.287', '-10.453', '-9.118', '-8.610', '-12.967', '0.260', '-0.212', '-0.400', '-114']
[1546720836.7949665, '192.168.50.145', '0.95', '10205FE010002C92', '-0.645', '-1.957', '-9.519', '-7.805', '-4.778', '3.789', '0.247', '-0.196', '-0.410', '-80']
[1546720837.0409863, '192.168.50.145', '11.73', '10205FE0100031F3', '-1.901', '-2.072', '-9.430', '-11.060', '10.587', '-6.597', '0.245', '-0.188', '-0.408', '-97']
[1546720837.1641269, '192.168.50.145', '11.73', '10205FE0100031F3', '-0.921', '-2.736', '-9.290', '-6.090', '-3.894', '-6.090', '0.249', '-0.177', '-0.412', '-99']
[1546720837.5013323, '192.168.50.145', '10.73', '10205FE010002BEB', '-0.386', '-2.443', '-10.649', '-26.224', '15.619', '25.769', '0.268', '-0.184', '-0.398', '-81']
[1546720837.625792, '192.168.50.145', '10.66', '10205FE010002BEB', '-0.719', '-0.999', '-8.034', '32.314', '-2.529', '13.755', '0.264', '-0.208', '-0.401', '-83']
[1546720837.6410868, '192.168.50.145', '1.39', '10205FE010002C92', '-0.719', '-0.999', '-8.034', '32.314', '-2.529', '13.755', '0.264', '-0.208', '-0.401', '-81']
[1546720837.7625113, '192.168.50.145', '10.82', '10205FE010002BEB', '-0.726', '-0.920', '-9.717', '6.895', '-6.991', '10.229', '0.260', '-0.219', '-0.400', '-81']
[1546720838.238089, '192.168.50.145', '2.13', '10205FE010002C92', '-1.367', '-2.057', '-8.058', '4.182', '1.934', '-3.036', '0.269', '-0.243', '-0.385', '-81']
[1546720838.345258, '192.168.50.145', '14.93', '10205FE010002C95', '-0.724', '-2.338', '-7.269', '-0.971', '2.354', '-2.931', '0.270', '-0.240', '-0.385', '-92']
[1546720838.4912786, '192.168.50.145', '10.77', '10205FE010002BEB', '-0.603', '-1.956', '-9.711', '16.739', '1.435', '2.756', '0.273', '-0.242', '-0.381', '-81']
[1546720838.7257357, '192.168.50.145', '22.05', '10205FE010002A85', '0.029', '-1.485', '-10.222', '0.639', '-4.629', '16.966', '0.275', '-0.250', '-0.377', '-93']
[1546720838.8294506, '192.168.50.145', '9.96', '10205FE0100031F3', '-0.307', '-2.146', '-8.012', '-1.094', '3.885', '16.931', '0.272', '-0.254', '-0.374', '-98']
[1546720838.84484, '192.168.50.145', '21.92', '10205FE010002A85', '-0.307', '-2.146', '-8.012', '-1.094', '3.885', '16.931', '0.272', '-0.254', '-0.374', '-91']
[1546720838.9686162, '192.168.50.145', '9.80', '10205FE0100031F3', '-1.128', '-2.581', '-8.320', '4.786', '11.961', '6.151', '0.268', '-0.260', '-0.379', '-97']
[1546720838.9839196, '192.168.50.145', '21.67', '10205FE010002A85', '-1.128', '-2.581', '-8.320', '4.786', '11.961', '6.151', '0.268', '-0.260', '-0.379', '-90']
