[1546720958.4224255, '192.168.50.145', '13.80', '10205FE010002BEB', '-0.620', '-0.721', '-9.650', '2.450', '-4.804', '-7.446', '0.359', '-0.201', '-0.526', '-91']
[1546720958.5659814, '192.168.50.145', '13.89', '10205FE010002BEB', '-0.366', '-1.458', '-11.142', '-26.119', '7.184', '15.986', '0.346', '-0.216', '-0.513', '-93']
[1546720958.6724558, '192.168.50.145', '18.67', '10205FE010002A7B', '0.274', '0.617', '-11.928', '4.681', '-14.481', '5.714', '0.327', '-0.221', '-0.515', '-88']
[1546720958.8089328, '192.168.50.145', '15.24', '10205FE010002A85', '0.108', '-0.409', '-8.176', '9.275', '-11.576', '12.127', '0.312', '-0.240', '-0.501', '-91']
[1546720958.9255319, '192.168.50.145', '9.68', '10205FE010002C92', '-0.392', '-1.625', '-8.942', '5.696', '-2.126', '1.724', '0.297', '-0.252', '-0.496', '-92']
[1546720959.0467043, '192.168.50.145', '14.50', '10205FE010002BEB', '-0.709', '-2.175', '-10.573', '9.730', '0.928', '4.524', '0.283', '-0.273', '-0.485', '-92']
[1546720959.1553473, '192.168.50.145', '18.24', '10205FE010002A7B', '-0.906', '-1.049', '-10.281', '-4.585', '2.896', '0.359', '0.268', '-0.267', '-0.472', '-85']
[1546720959.281993, '192.168.50.145', '14.52', '10205FE010002A85', '-0.827', '-0.366', '-9.001', '-2.109', '8.873', '-3.290', '0.276', '-0.256', '-0.449', '-92']
[1546720959.455736, '192.168.50.145', '10.40', '10205FE010002C92', '-1.090', '-0.942', '-9.126', '7.324', '7.385', '-7.901', '0.272', '-0.249', '-0.435', '-96']
[1546720959.5875905, '192.168.50.145', '10.94', '10205FE010002C92', '0.135', '-0.301', '-12.572', '1.925', '-15.251', '4.996', '0.266', '-0.249', '-0.427', '-99']
[1546720959.8556485, '192.168.50.145', '15.12', '10205FE010002BEB', '-0.036', '-0.626', '-8.862', '0.962', '-7.604', '10.719', '0.236', '-0.246', '-0.415', '-92']
[1546720959.969326, '192.168.50.145', '10.69', '10205FE010002C95', '-0.310', '-1.797', '-8.270', '1.024', '-3.281', '4.139', '0.220', '-0.248', '-0.420', '-85']
[1546720960.1043534, '192.168.50.145', '17.38', '10205FE010002A7B', '-0.508', '-2.154', '-11.159', '-1.951', '-7.560', '1.295', '0.213', '-0.254', '-0.414', '-84']
[1546720960.1199012, '192.168.50.145', '10.66', '10205FE010002C95', '-0.508', '-2.154', '-11.159', '-1.951', '-7.560', '1.295', '0.213', '-0.254', '-0.414', '-85']
[1546720960.3240576, '192.168.50.145', '15.56', '10205FE010002BEB', '-1.566', '-0.833', '-7.541', '-15.146', '25.191', '-0.954', '0.203', '-0.255', '-0.402', '-91']
[1546720960.6575687, '192.168.50.145', '17.00', '10205FE010002A7B', '-0.627', '-1.397', '-11.396', '6.361', '-9.529', '6.633', '0.184', '-0.265', '-0.419', '-86']
[1546720960.808161, '192.168.50.145', '10.58', '10205FE010002C95', '-0.870', '-1.702', '-9.121', '8.785', '-5.880', '6.169', '0.177', '-0.278', '-0.393', '-85']
[1546720961.8323176, '192.168.50.145', '10.48', '10205FE010002C95', '-2.276', '0.824', '-9.667', '-15.750', '-30.599', '-142.048', '0.200', '-0.133', '-0.369', '-90']
[1546720962.0033472, '192.168.50.145', '16.04', '10205FE010002BEB', '-0.142', '-0.035', '-10.035', '-13.440', '-23.800', '-124.793', '0.133', '-0.044', '-0.366', '-85']
[1546720962.1279824, '192.168.50.145', '10.23', '10205FE010002C95', '0.676', '0.138', '-9.766', '-13.554', '-19.906', '-88.681', '0.080', '-0.014', '-0.363', '-87']
[1546720962.4871135, '192.168.50.145', '12.25', '10205FE010002C92', '-1.023', '-1.893', '-9.279', '-29.750', '-9.179', '-8.374', '0.044', '0.016', '-0.350', '-84']
[1546720962.610564, '192.168.50.145', '15.80', '10205FE010002BEB', '-0.579', '-1.573', '-9.346', '-7.787', '-5.941', '-11.165', '0.037', '0.033', '-0.345', '-85']
[1546720962.8309588, '192.168.50.145', '12.45', '10205FE010002A85', '-0.623', '-2.106', '-9.754', '15.269', '-0.788', '-7.744', '0.043', '0.033', '-0.332', '-85']
[1546720962.845063, '192.168.50.145', '16.73', '10205FE010002A7B', '-0.623', '-2.106', '-9.754', '15.269', '-0.788', '-7.744', '0.043', '0.033', '-0.332', '-95']
[1546720962.912042, '192.168.50.145', '1.24', '10205FE0100031F3', '-1.059', '-2.434', '-10.015', '18.427', '6.904', '-5.854', '0.034', '0.032', '-0.339', '-82']
[1546720963.0315323, '192.168.50.145', '12.32', '10205FE010002C92', '-1.608', '-1.560', '-11.407', '-31.631', '10.903', '-17.955', '0.026', '0.043', '-0.335', '-85']
[1546720963.1751373, '192.168.50.145', '1.67', '10205FE0100031F3', '-1.047', '-0.640', '-8.544', '16.677', '-4.182', '-12.661', '0.022', '0.044', '-0.340', '-86']
[1546720963.4350662, '192.168.50.145', '9.19', '10205FE010002C95', '-1.497', '-1.811', '-8.751', '25.839', '2.914', '5.801', '0.004', '0.039', '-0.347', '-83']
[1546720963.522021, '192.168.50.145', '12.57', '10205FE010002A85', '-1.667', '-2.138', '-10.649', '-16.573', '22.960', '14.017', '0.013', '0.041', '-0.346', '-83']
[1546720963.7663798, '192.168.50.145', '12.44', '10205FE010002C92', '0.190', '-0.386', '-8.729', '18.970', '-20.711', '7.140', '0.021', '0.058', '-0.359', '-86']
[1546720964.2610433, '192.168.50.145', '2.96', '10205FE0100031F3', '-1.109', '-1.234', '-8.009', '-6.983', '-7.472', '3.526', '0.019', '0.060', '-0.398', '-83']
[1546720964.4815686, '192.168.50.145', '7.73', '10205FE010002C95', '-0.732', '-1.948', '-11.179', '2.275', '-11.043', '5.224', '0.023', '0.050', '-0.409', '-83']
[1546720964.8324342, '192.168.50.145', '14.19', '10205FE010002A7B', '-0.498', '-1.168', '-7.551', '13.659', '-22.899', '11.882', '0.028', '0.065', '-0.421', '-95']
[1546720964.8517296, '192.168.50.145', '7.20', '10205FE010002C95', '-2.000', '-1.362', '-6.918', '19.285', '5.784', '-3.194', '0.028', '0.063', '-0.436', '-84']
[1546720964.95827, '192.168.50.145', '12.99', '10205FE010002A85', '-0.660', '-2.173', '-8.699', '11.043', '0.420', '-13.632', '0.025', '0.058', '-0.447', '-82']
[1546720965.220902, '192.168.50.145', '12.85', '10205FE010002C92', '-1.706', '0.089', '-9.943', '2.118', '13.878', '-18.104', '0.019', '0.067', '-0.453', '-86']
[1546720965.35044, '192.168.50.145', '14.07', '10205FE010002BEB', '-1.078', '-1.048', '-7.005', '9.712', '19.854', '-17.903', '0.039', '0.078', '-0.465', '-85']
[1546720965.3972335, '192.168.50.145', '13.22', '10205FE010002A85', '-1.078', '-1.048', '-7.005', '9.712', '19.854', '-17.903', '0.039', '0.078', '-0.465', '-84']
[1546720965.4124792, '192.168.50.145', '14.00', '10205FE010002A7B', '-0.422', '-2.218', '-8.189', '-6.624', '10.062', '-2.039', '0.041', '0.080', '-0.478', '-90']
[1546720965.5473003, '192.168.50.145', '14.00', '10205FE010002A7B', '-0.157', '-0.403', '-13.163', '18.244', '-15.137', '0.595', '0.049', '0.074', '-0.487', '-89']
[1546720965.6709027, '192.168.50.145', '46.31', '10205FE010002A85', '-0.181', '-0.784', '-9.348', '-10.981', '-8.846', '12.810', '0.051', '0.079', '-0.495', '-102']
[1546720966.027132, '192.168.50.145', '13.83', '10205FE010002A7B', '-0.067', '-2.425', '-10.088', '3.815', '-13.352', '-4.935', '0.051', '0.052', '-0.539', '-88']
[1546720966.2723224, '192.168.50.145', '5.78', '10205FE0100031F3', '-1.403', '-0.164', '-9.248', '3.273', '5.985', '-4.594', '0.056', '0.042', '-0.547', '-86']
[1546720966.2864797, '192.168.50.145', '13.67', '10205FE010002A85', '-0.343', '-0.951', '-6.759', '1.076', '-13.755', '-2.319', '0.051', '0.037', '-0.547', '-82']
[1546720966.6438794, '192.168.50.145', '13.85', '10205FE010002A85', '-0.829', '-1.773', '-11.854', '-41.081', '38.404', '36.033', '0.108', '-0.018', '-0.565', '-85']
[1546720966.7745273, '192.168.50.145', '13.45', '10205FE010002A7B', '-1.165', '0.909', '-10.277', '-0.114', '12.766', '6.702', '0.072', '-0.005', '-0.569', '-84']
[1546720966.8732417, '192.168.50.145', '14.07', '10205FE010002A85', '-0.700', '-0.276', '-6.528', '32.778', '6.379', '-5.372', '0.046', '-0.018', '-0.547', '-86']
[1546720966.8871143, '192.168.50.145', '13.30', '10205FE010002A7B', '-0.700', '-0.276', '-6.528', '32.778', '6.379', '-5.372', '0.046', '-0.018', '-0.547', '-85']
[1546720966.902068, '192.168.50.145', '4.36', '10205FE010002C95', '-0.700', '-0.276', '-6.528', '32.778', '6.379', '-5.372', '0.046', '-0.018', '-0.547', '-81']
[1546720967.1431959, '192.168.50.145', '3.93', '10205FE010002C95', '-0.767', '-1.540', '-11.666', '-2.949', '-16.249', '-5.075', '0.031', '-0.064', '-0.522', '-80']
[1546720967.377711, '192.168.50.145', '3.65', '10205FE010002C95', '-1.397', '-0.629', '-6.517', '14.123', '13.073', '-0.009', '0.027', '-0.029', '-0.482', '-82']
[1546720967.5025935, '192.168.50.145', '14.53', '10205FE010002A85', '-1.023', '-1.058', '-9.338', '19.329', '-14.236', '-0.718', '0.034', '-0.045', '-0.484', '-82']
[1546720967.5948806, '192.168.50.145', '7.68', '10205FE0100031F3', '0.134', '-0.462', '-12.763', '-9.424', '-9.083', '-8.137', '0.033', '-0.036', '-0.482', '-89']
[1546720968.1632693, '192.168.50.145', '12.39', '10205FE010002BEB', '-1.631', '-0.553', '-11.476', '3.832', '4.305', '-19.136', '-0.009', '-0.019', '-0.462', '-92']
[1546720968.3893428, '192.168.50.145', '15.23', '10205FE010002A85', '-0.847', '-0.623', '-7.664', '-4.095', '-0.280', '0.166', '-0.023', '-0.010', '-0.464', '-84']
[1546720968.4942658, '192.168.50.145', '14.97', '10205FE010002C92', '-0.824', '-2.008', '-7.707', '-6.291', '3.832', '6.020', '-0.023', '-0.008', '-0.456', '-91']
[1546720968.6143088, '192.168.50.145', '12.19', '10205FE010002BEB', '-0.766', '-1.395', '-11.907', '-0.376', '5.364', '10.080', '-0.022', '-0.011', '-0.462', '-100']
[1546720968.8502116, '192.168.50.145', '12.58', '10205FE010002A7B', '-0.251', '-0.659', '-8.595', '-10.255', '0.157', '20.501', '-0.039', '0.001', '-0.457', '-81']
[1546720968.8657596, '192.168.50.145', '1.68', '10205FE010002C95', '-0.251', '-0.659', '-8.595', '-10.255', '0.157', '20.501', '-0.039', '0.001', '-0.457', '-81']
[1546720969.0045516, '192.168.50.145', '15.69', '10205FE010002A85', '-0.890', '-1.930', '-7.898', '8.802', '2.450', '0.788', '-0.048', '0.002', '-0.451', '-83']
[1546720969.1148157, '192.168.50.145', '9.63', '10205FE0100031F3', '-0.979', '-2.067', '-11.288', '9.686', '-9.222', '-4.060', '-0.066', '-0.008', '-0.459', '-84']
[1546720969.1294687, '192.168.50.145', '15.63', '10205FE010002A85', '-0.979', '-2.067', '-11.288', '9.686', '-9.222', '-4.060', '-0.066', '-0.008', '-0.459', '-84']
[1546720969.244037, '192.168.50.145', '9.79', '10205FE0100031F3', '-1.253', '0.437', '-12.001', '20.449', '-0.341', '-18.471', '-0.075', '-0.013', '-0.457', '-84']
[1546720969.7199423, '192.168.50.145', '0.82', '10205FE010002C95', '-0.291', '-0.723', '-12.063', '18.629', '-12.976', '18.314', '-0.054', '-0.006', '-0.473', '-81']
[1546720970.1974664, '192.168.50.145', '0.63', '10205FE010002C95', '0.096', '-0.407', '-10.086', '-6.807', '-12.364', '12.057', '-0.061', '0.025', '-0.472', '-81']
[1546720970.3069208, '192.168.50.145', '16.21', '10205FE010002A85', '1.171', '-0.915', '-9.398', '22.479', '-5.495', '65.380', '-0.054', '0.022', '-0.477', '-84']
