['1553383320926', '192.168.50.145', 'NA', 'NA', '-0.018', '0.098', '-9.765', '-1.995', '-1.794', '-3.622', '-0.058', '-0.301', '-0.470', '1022.01', 'NA']
['1553383320948', '192.168.50.145', 'NA', 'NA', '0.071', '0.086', '-9.940', '-2.275', '-1.487', '-3.990', '-0.057', '-0.300', '-0.471', '1022.01', 'NA']
['1553383320971', '192.168.50.145', 'NA', 'NA', '0.071', '0.086', '-9.940', '-2.275', '-1.487', '-3.990', '-0.057', '-0.300', '-0.471', '1022.01', 'NA']
['1553383320993', '192.168.50.145', 'NA', 'NA', '0.071', '0.086', '-9.940', '-2.275', '-1.487', '-3.990', '-0.057', '-0.300', '-0.471', '1022.01', 'NA']
['1553383321021', '192.168.50.145', 'NA', 'NA', '0.078', '0.054', '-9.940', '-3.106', '-2.774', '-4.174', '-0.064', '-0.302', '-0.478', '1021.95', 'NA']
['1553383321044', '192.168.50.145', 'NA', 'NA', '0.078', '0.054', '-9.940', '-3.106', '-2.774', '-4.174', '-0.064', '-0.302', '-0.478', '1021.95', 'NA']
['1553383321067', '192.168.50.145', 'NA', 'NA', '0.060', '0.156', '-9.794', '-2.546', '-1.566', '-4.883', '-0.058', '-0.300', '-0.476', '1021.98', 'NA']
['1553383321089', '192.168.50.145', 'NA', 'NA', '0.060', '0.156', '-9.794', '-2.546', '-1.566', '-4.883', '-0.058', '-0.300', '-0.476', '1021.98', 'NA']
['1553383321112', '192.168.50.145', 'NA', 'NA', '0.060', '0.156', '-9.794', '-2.546', '-1.566', '-4.883', '-0.058', '-0.300', '-0.476', '1021.98', 'NA']
['1553383321133', '192.168.50.145', 'NA', 'NA', '-0.043', '0.135', '-9.881', '-1.654', '-1.155', '-4.113', '-0.058', '-0.299', '-0.471', '1021.93', 'NA']
['1553383321155', '192.168.50.145', 'NA', 'NA', '-0.043', '0.135', '-9.881', '-1.654', '-1.155', '-4.113', '-0.058', '-0.299', '-0.471', '1021.93', 'NA']
['1553383321178', '192.168.50.145', 'NA', 'NA', '-0.043', '0.135', '-9.881', '-1.654', '-1.155', '-4.113', '-0.058', '-0.299', '-0.471', '1021.93', 'NA']
['1553383321199', '192.168.50.145', 'NA', 'NA', '0.051', '0.068', '-9.887', '-2.188', '-1.785', '-3.124', '-0.061', '-0.295', '-0.471', '1021.95', 'NA']
['1553383321222', '192.168.50.145', 'NA', 'NA', '0.051', '0.068', '-9.887', '-2.188', '-1.785', '-3.124', '-0.061', '-0.295', '-0.471', '1021.95', 'NA']
['1553383321243', '192.168.50.145', 'NA', 'NA', '0.051', '0.068', '-9.887', '-2.188', '-1.785', '-3.124', '-0.061', '-0.295', '-0.471', '1021.95', 'NA']
['1553383321266', '192.168.50.145', 'NA', 'NA', '0.029', '0.111', '-9.820', '-2.564', '-1.908', '-3.999', '-0.064', '-0.300', '-0.469', '1021.96', 'NA']
['1553383321287', '192.168.50.145', 'NA', 'NA', '0.029', '0.111', '-9.820', '-2.564', '-1.908', '-3.999', '-0.064', '-0.300', '-0.469', '1021.96', 'NA']
['1553383321309', '192.168.50.145', 'NA', 'NA', '0.062', '0.172', '-9.717', '-1.295', '-1.094', '-5.303', '-0.064', '-0.303', '-0.476', '1021.91', 'NA']
['1553383321331', '192.168.50.145', 'NA', 'NA', '0.062', '0.172', '-9.717', '-1.295', '-1.094', '-5.303', '-0.064', '-0.303', '-0.476', '1021.91', 'NA']
['1553383321353', '192.168.50.145', 'NA', 'NA', '0.062', '0.172', '-9.717', '-1.295', '-1.094', '-5.303', '-0.064', '-0.303', '-0.476', '1021.91', 'NA']
['1553383321375', '192.168.50.145', 'NA', 'NA', '-0.023', '0.103', '-10.019', '-1.400', '-1.741', '-5.574', '-0.062', '-0.298', '-0.470', '1021.96', 'NA']
['1553383321398', '192.168.50.145', 'NA', 'NA', '-0.023', '0.103', '-10.019', '-1.400', '-1.741', '-5.574', '-0.062', '-0.298', '-0.470', '1021.96', 'NA']
['1553383321419', '192.168.50.145', 'NA', 'NA', '-0.023', '0.103', '-10.019', '-1.400', '-1.741', '-5.574', '-0.062', '-0.298', '-0.470', '1021.96', 'NA']
['1553383321441', '192.168.50.145', 'NA', 'NA', '0.077', '0.056', '-9.787', '-1.006', '-1.400', '-6.519', '-0.060', '-0.300', '-0.470', '1021.91', 'NA']
['1553383321464', '192.168.50.145', 'NA', 'NA', '0.077', '0.056', '-9.787', '-1.006', '-1.400', '-6.519', '-0.060', '-0.300', '-0.470', '1021.91', 'NA']
