[1552672394.0325093, '192.168.50.145', '3.415', '8.372', '1.131', '-108.946', '193.769', '219.494', '0.133', '0.296', '-0.219']
[1552672394.0542026, '192.168.50.145', '3.836', '7.572', '2.465', '-80.080', '201.696', '244.527', '0.257', '0.269', '-0.157']
[1552672394.0778615, '192.168.50.145', '3.836', '7.572', '2.465', '-80.080', '201.696', '244.527', '0.257', '0.269', '-0.157']
[1552672394.0998204, '192.168.50.145', '3.836', '7.572', '2.465', '-80.080', '201.696', '244.527', '0.257', '0.269', '-0.157']
[1552672394.1216047, '192.168.50.145', '5.685', '5.746', '3.698', '-240.494', '164.596', '196.105', '0.356', '0.200', '-0.047']
[1552672394.1553373, '192.168.50.145', '5.685', '5.746', '3.698', '-240.494', '164.596', '196.105', '0.356', '0.200', '-0.047']
[1552672394.1867251, '192.168.50.145', '7.381', '2.070', '6.842', '-207.148', '63.464', '142.240', '0.413', '0.110', '0.036']
[1552672394.2087028, '192.168.50.145', '7.381', '2.070', '6.842', '-207.148', '63.464', '142.240', '0.413', '0.110', '0.036']
[1552672394.2304971, '192.168.50.145', '7.381', '2.070', '6.842', '-207.148', '63.464', '142.240', '0.413', '0.110', '0.036']
[1552672394.2512848, '192.168.50.145', '8.276', '1.515', '7.066', '-242.620', '-26.136', '38.491', '0.444', '0.001', '0.098']
[1552672394.273103, '192.168.50.145', '8.276', '1.515', '7.066', '-242.620', '-26.136', '38.491', '0.444', '0.001', '0.098']
[1552672394.2953205, '192.168.50.145', '8.404', '-1.749', '9.897', '-286.589', '-23.161', '-99.033', '0.448', '-0.038', '0.099']
[1552672394.321985, '192.168.50.145', '8.404', '-1.749', '9.897', '-286.589', '-23.161', '-99.033', '0.448', '-0.038', '0.099']
[1552672394.3426607, '192.168.50.145', '8.404', '-1.749', '9.897', '-286.589', '-23.161', '-99.033', '0.448', '-0.038', '0.099']
[1552672394.3644326, '192.168.50.145', '9.599', '-2.157', '7.202', '-64.085', '-38.351', '-193.812', '0.438', '0.035', '0.089']
[1552672394.3851721, '192.168.50.145', '9.599', '-2.157', '7.202', '-64.085', '-38.351', '-193.812', '0.438', '0.035', '0.089']
[1552672394.4120622, '192.168.50.145', '9.599', '-2.157', '7.202', '-64.085', '-38.351', '-193.812', '0.438', '0.035', '0.089']
[1552672394.4337907, '192.168.50.145', '6.787', '0.354', '5.833', '-83.746', '14.114', '-196.744', '0.405', '0.116', '0.104']
[1552672394.4555583, '192.168.50.145', '6.787', '0.354', '5.833', '-83.746', '14.114', '-196.744', '0.405', '0.116', '0.104']
[1552672394.477385, '192.168.50.145', '6.787', '0.354', '5.833', '-83.746', '14.114', '-196.744', '0.405', '0.116', '0.104']
[1552672394.499097, '192.168.50.145', '10.270', '-0.564', '6.731', '-30.153', '-10.972', '-272.545', '0.348', '0.193', '0.117']
[1552672394.5208044, '192.168.50.145', '10.270', '-0.564', '6.731', '-30.153', '-10.972', '-272.545', '0.348', '0.193', '0.117']
[1552672394.542603, '192.168.50.145', '10.270', '-0.564', '6.731', '-30.153', '-10.972', '-272.545', '0.348', '0.193', '0.117']
[1552672394.5644727, '192.168.50.145', '7.584', '3.124', '6.054', '-111.090', '34.186', '-286.195', '0.243', '0.267', '0.152']
[1552672394.5861747, '192.168.50.145', '7.584', '3.124', '6.054', '-111.090', '34.186', '-286.195', '0.243', '0.267', '0.152']
[1552672394.607899, '192.168.50.145', '5.196', '4.161', '7.305', '-102.734', '7.341', '-274.164', '0.110', '0.299', '0.195']
[1552672394.629658, '192.168.50.145', '5.196', '4.161', '7.305', '-102.734', '7.341', '-274.164', '0.110', '0.299', '0.195']
[1552672394.6514432, '192.168.50.145', '5.196', '4.161', '7.305', '-102.734', '7.341', '-274.164', '0.110', '0.299', '0.195']
[1552672394.6820745, '192.168.50.145', '4.793', '5.482', '7.896', '-154.499', '52.185', '-250.180', '-0.036', '0.240', '0.253']
[1552672394.7038062, '192.168.50.145', '4.793', '5.482', '7.896', '-154.499', '52.185', '-250.180', '-0.036', '0.240', '0.253']
[1552672394.7255433, '192.168.50.145', '4.793', '5.482', '7.896', '-154.499', '52.185', '-250.180', '-0.036', '0.240', '0.253']
[1552672394.7474022, '192.168.50.145', '1.641', '2.723', '9.915', '-29.111', '104.396', '-153.440', '-0.114', '0.201', '0.259']
[1552672394.7721057, '192.168.50.145', '1.641', '2.723', '9.915', '-29.111', '104.396', '-153.440', '-0.114', '0.201', '0.259']
[1552672394.7939112, '192.168.50.145', '1.486', '3.086', '8.717', '-21.744', '92.750', '-118.764', '-0.178', '0.172', '0.244']
[1552672394.8158941, '192.168.50.145', '1.486', '3.086', '8.717', '-21.744', '92.750', '-118.764', '-0.178', '0.172', '0.244']
[1552672394.8377087, '192.168.50.145', '1.486', '3.086', '8.717', '-21.744', '92.750', '-118.764', '-0.178', '0.172', '0.244']
[1552672394.8593776, '192.168.50.145', '0.158', '3.997', '9.229', '-35.044', '68.425', '-81.611', '-0.236', '0.125', '0.226']
[1552672394.8811557, '192.168.50.145', '0.158', '3.997', '9.229', '-35.044', '68.425', '-81.611', '-0.236', '0.125', '0.226']
[1552672394.9029014, '192.168.50.145', '0.158', '3.997', '9.229', '-35.044', '68.425', '-81.611', '-0.236', '0.125', '0.226']
[1552672394.9246593, '192.168.50.145', '-1.975', '3.898', '9.791', '-42.542', '101.789', '-84.245', '-0.278', '0.089', '0.204']
[1552672394.9464037, '192.168.50.145', '-1.975', '3.898', '9.791', '-42.542', '101.789', '-84.245', '-0.278', '0.089', '0.204']
[1552672394.9670997, '192.168.50.145', '-1.975', '3.898', '9.791', '-42.542', '101.789', '-84.245', '-0.278', '0.089', '0.204']
[1552672394.9888024, '192.168.50.145', '-2.735', '3.002', '9.403', '-15.977', '128.231', '-66.098', '-0.318', '0.056', '0.164']
